Sno,Admission Number,Fee Head,Fees Assigned,concession,Paid,Due
329,10002060,Parent Orientation,1000,0,1000,0
330,10002085,Parent Orientation,1000,0,1000,0
331,10001762,Parent Orientation,1000,0,1000,0
332,10002081,Parent Orientation,1000,0,0,1000
333,10001519,Parent Orientation,1000,0,1000,0
334,10001611,Parent Orientation,1000,0,1000,0
335,10001578,Parent Orientation,1000,0,0,1000
336,10001478,Parent Orientation,1000,0,1000,0
337,10001866,Parent Orientation,1000,0,1000,0
338,10001473,Parent Orientation,1000,0,0,1000
339,10003256,Parent Orientation,1000,0,1000,0
340,10003135,Parent Orientation,1000,0,1000,0
341,10001634,Parent Orientation,1000,0,1000,0
342,10002906,Parent Orientation,1000,0,1000,0
343,10002769,Parent Orientation,1000,0,1000,0
344,10001530,Parent Orientation,1000,0,1000,0
345,10001480,Parent Orientation,1000,0,1000,0
346,10001722,Parent Orientation,1000,0,1000,0
347,10002143,Parent Orientation,1000,0,1000,0
348,10002105,Parent Orientation,1000,0,1000,0
349,10001876,Parent Orientation,1000,0,1000,0
350,10001856,Parent Orientation,1000,0,1000,0
351,10001983,Parent Orientation,1000,0,1000,0
352,10001704,Parent Orientation,1000,0,1000,0
353,10001909,Parent Orientation,1000,0,1000,0
354,10001517,Parent Orientation,1000,0,1000,0
355,10001743,Parent Orientation,1000,0,1000,0
356,10002083,Parent Orientation,1000,0,1000,0
357,10001483,Parent Orientation,1000,0,1000,0
358,10002089,Parent Orientation,1000,0,1000,0
359,10003070,Parent Orientation,1000,0,1000,0
360,10001468,Parent Orientation,1000,0,1000,0
361,10001571,Parent Orientation,1000,0,1000,0
362,10001624,Parent Orientation,1000,0,1000,0
363,10001729,Parent Orientation,1000,0,1000,0
364,10001526,Parent Orientation,1000,0,1000,0
365,10001470,Parent Orientation,1000,0,0,1000
366,10001511,Parent Orientation,1000,0,1000,0
367,10001604,Parent Orientation,1000,0,1000,0
368,10003253,Parent Orientation,1000,0,1000,0
369,10002881,Parent Orientation,1000,0,1000,0
370,10002300,Parent Orientation,1000,0,1000,0
371,10002646,Parent Orientation,1000,0,1000,0
372,10001619,Parent Orientation,1000,0,1000,0
373,10002632,Parent Orientation,1000,0,1000,0
374,10001602,Parent Orientation,1000,0,1000,0
375,10002110,Parent Orientation,1000,0,1000,0
376,10001934,Parent Orientation,1000,1000,0,0
377,10001594,Parent Orientation,1000,0,0,1000
378,10001766,Parent Orientation,1000,0,1000,0
379,10001631,Parent Orientation,1000,0,1000,0
380,10001891,Parent Orientation,1000,0,1000,0
381,10001465,Parent Orientation,1000,0,1000,0
382,10002058,Parent Orientation,1000,0,1000,0
383,10002082,Parent Orientation,1000,0,1000,0
384,10003172,Parent Orientation,1000,0,1000,0
385,10002908,Parent Orientation,1000,0,1000,0
386,10001948,Parent Orientation,1000,0,1000,0
387,10001316,Parent Orientation,1000,0,0,1000
388,10002100,Parent Orientation,1000,0,1000,0
389,10001873,Parent Orientation,1000,0,0,1000
390,10001641,Parent Orientation,1000,0,0,1000
391,10001837,Parent Orientation,1000,0,1000,0
392,10001800,Parent Orientation,1000,0,1000,0
393,10001701,Parent Orientation,1000,0,1000,0
394,10001693,Parent Orientation,1000,1000,0,0
395,10001696,Parent Orientation,1000,0,1000,0
396,10001703,Parent Orientation,1000,1000,0,0
397,10001632,Parent Orientation,1000,0,1000,0
398,10003151,Parent Orientation,1000,0,0,1000
399,10003137,Parent Orientation,1000,0,1000,0
400,10001792,Parent Orientation,1000,1000,0,0
401,10002915,Parent Orientation,1000,0,0,1000
402,10001637,Parent Orientation,1000,0,1000,0
403,10002345,Parent Orientation,1000,0,1000,0
404,10001584,Parent Orientation,1000,0,1000,0
405,10001790,Parent Orientation,1000,0,1000,0
406,10001638,Parent Orientation,1000,0,1000,0
407,10001639,Parent Orientation,1000,0,1000,0
408,10001628,Parent Orientation,1000,0,1000,0
409,10002099,Parent Orientation,1000,0,1000,0
410,10002064,Parent Orientation,1000,0,1000,0
411,10002053,Parent Orientation,1000,0,1000,0
412,10002682,Parent Orientation,1000,0,1000,0
413,10002316,Parent Orientation,1000,0,1000,0
414,10001640,Parent Orientation,1000,0,1000,0
415,10001754,Parent Orientation,1000,0,1000,0
416,10002341,Parent Orientation,1000,1000,0,0
417,10002322,Parent Orientation,1000,1000,0,0
418,10001651,Parent Orientation,1000,0,1000,0
419,10002272,Parent Orientation,1000,0,1000,0
420,10002270,Parent Orientation,1000,0,1000,0
421,10002262,Parent Orientation,1000,0,0,1000
422,10002263,Parent Orientation,1000,0,1000,0
423,10002261,Parent Orientation,1000,0,1000,0
424,10002378,Parent Orientation,1000,0,1000,0
425,10002854,Parent Orientation,1000,0,1000,0
426,10002773,Parent Orientation,1000,0,1000,0
427,10002766,Parent Orientation,1000,0,1000,0
428,10002308,Parent Orientation,1000,0,1000,0
429,10002325,Parent Orientation,1000,0,1000,0
430,10002304,Parent Orientation,1000,0,0,1000
431,10002256,Parent Orientation,1000,1000,0,0
432,10002303,Parent Orientation,1000,0,1000,0
433,10002301,Parent Orientation,1000,0,1000,0
434,10002299,Parent Orientation,1000,0,0,1000
