Sno,Admission Number,Fee Head,Fees Assigned,concession,Paid,Due
171,10001233,Tuition Fees,48000,0,4000,44000
172,10001243,Tuition Fees,48000,0,20000,28000
173,10001340,Tuition Fees,48000,1000,19000,28000
174,10002860,Tuition Fees,48000,0,28000,20000
175,10002102,Tuition Fees,48000,4000,44000,0
176,10001535,Tuition Fees,48000,0,20000,28000
177,10002800,Tuition Fees,48000,0,12000,36000
178,10001157,Tuition Fees,48000,0,12000,36000
179,10002617,Tuition Fees,48000,0,20000,28000
180,10002104,Tuition Fees,48000,0,48000,0
181,10001242,Tuition Fees,48000,0,4000,44000
182,10001293,Tuition Fees,48000,0,20000,28000
183,10002302,Tuition Fees,48000,18000,7500,22500
184,10001131,Tuition Fees,48000,0,12000,36000
185,10001311,Tuition Fees,48000,0,12000,36000
186,10001418,Tuition Fees,48000,0,12000,36000
187,10001310,Tuition Fees,48000,9600,9600,28800
188,10001451,Tuition Fees,48000,0,16000,32000
189,10001314,Tuition Fees,48000,24000,6000,18000
190,10002296,Tuition Fees,48000,0,48000,0
191,10001854,Tuition Fees,48000,0,20000,28000
192,10001408,Tuition Fees,48000,0,0,48000
193,10001514,Tuition Fees,48000,1000,19000,28000
194,10002962,Tuition Fees,48000,0,12000,36000
195,10001512,Tuition Fees,48000,7200,17000,23800
196,10001335,Tuition Fees,48000,0,20000,28000
197,10001455,Tuition Fees,48000,0,12000,36000
198,10002986,Tuition Fees,48000,18000,30000,0
199,10003029,Tuition Fees,48000,0,20000,28000
200,10001304,Tuition Fees,48000,0,20000,28000
201,10002785,Tuition Fees,48000,0,20000,28000
202,10001843,Tuition Fees,48000,0,20000,28000
203,10001339,Tuition Fees,48000,4000,44000,0
204,10001669,Tuition Fees,48000,18000,30000,0
205,10001859,Tuition Fees,48000,0,12000,36000
206,10001528,Tuition Fees,48000,0,12000,36000
207,10001674,Tuition Fees,48000,0,20000,28000
208,10001328,Tuition Fees,48000,0,20000,28000
209,10001778,Tuition Fees,48000,0,20000,28000
210,10001454,Tuition Fees,48000,0,16000,32000
211,10001460,Tuition Fees,48000,0,28000,20000
212,10001458,Tuition Fees,48000,0,20000,28000
213,10001453,Tuition Fees,48000,9600,12800,25600
214,10001322,Tuition Fees,48000,18000,30000,0
215,10001318,Tuition Fees,48000,0,20000,28000
216,10001710,Tuition Fees,48000,0,16000,32000
217,10001325,Tuition Fees,48000,0,16000,32000
218,10001481,Tuition Fees,48000,0,16000,32000
219,10001557,Tuition Fees,48000,0,48000,0
220,10001737,Tuition Fees,48000,24000,2500,21500
221,10003294,Tuition Fees,48000,0,20000,28000
222,10001591,Tuition Fees,48000,0,12000,36000
223,10001441,Tuition Fees,48000,0,20000,28000
224,10003240,Tuition Fees,48000,0,20000,28000
225,10003161,Tuition Fees,48000,0,20000,28000
226,10001471,Tuition Fees,48000,0,20000,28000
227,10001536,Tuition Fees,48000,4800,17000,26200
228,10002991,Tuition Fees,48000,0,20000,28000
229,10001714,Tuition Fees,48000,0,48000,0
230,10001531,Tuition Fees,48000,0,16000,32000
231,10001576,Tuition Fees,48000,9600,0,38400
232,10001537,Tuition Fees,48000,9600,14750,23650
233,10001501,Tuition Fees,48000,0,16000,32000
234,10003092,Tuition Fees,48000,7200,17000,23800
235,10001300,Tuition Fees,48000,0,48000,0
236,10002340,Tuition Fees,48000,9600,12800,25600
237,10001464,Tuition Fees,48000,18000,30000,0
238,10002097,Tuition Fees,48000,0,20000,28000
239,10001960,Tuition Fees,48000,0,0,48000
240,10001863,Tuition Fees,48000,0,12000,36000
241,10001582,Tuition Fees,48000,0,48000,0
242,10001694,Tuition Fees,48000,18000,10000,20000
243,10001298,Tuition Fees,48000,0,20000,28000
244,10001684,Tuition Fees,48000,0,20000,28000
245,10001490,Tuition Fees,48000,0,20000,28000
246,10001698,Tuition Fees,48000,7200,23800,17000
247,10001370,Tuition Fees,48000,0,20000,28000
248,10001305,Tuition Fees,48000,0,20000,28000
249,10001452,Tuition Fees,48000,12000,12000,24000
250,10001667,Tuition Fees,48000,0,48000,0
251,10003279,Tuition Fees,48000,0,20000,28000
252,10001317,Tuition Fees,48000,0,12000,36000
253,10003096,Tuition Fees,48000,0,0,48000
254,10002941,Tuition Fees,48000,0,48000,0
255,10001381,Tuition Fees,48000,0,20000,28000
256,10001857,Tuition Fees,48000,0,20000,28000
257,10001751,Tuition Fees,48000,0,12000,36000
258,10001462,Tuition Fees,48000,0,12000,36000
259,10002196,Tuition Fees,48000,0,20000,28000
260,10001331,Tuition Fees,48000,0,20000,28000
261,10001563,Tuition Fees,48000,9600,9600,28800
262,10001489,Tuition Fees,48000,0,20000,28000
263,10002997,Tuition Fees,48000,0,12000,36000
264,10002972,Tuition Fees,48000,0,4000,44000
265,10001308,Tuition Fees,48000,0,20000,28000
266,10002565,Tuition Fees,48000,0,48000,0
267,10002486,Tuition Fees,48000,0,20000,28000
268,10001574,Tuition Fees,48000,0,16000,32000
269,10002214,Tuition Fees,48000,0,20000,28000
270,10001892,Tuition Fees,48000,0,12000,36000
271,10002186,Tuition Fees,48000,0,48000,0
272,10001443,Tuition Fees,48000,0,4000,44000
273,10001375,Tuition Fees,48000,0,48000,0
274,10001682,Tuition Fees,48000,0,20000,28000
275,10001333,Tuition Fees,48000,0,16000,32000
276,10001580,Tuition Fees,45600,0,15200,30400
277,10001509,Tuition Fees,45600,1000,18000,26600
278,10002711,Tuition Fees,45600,0,19000,26600
279,10001543,Tuition Fees,45600,0,11400,34200
280,10001642,Tuition Fees,45600,0,11400,34200
281,10001515,Tuition Fees,45600,9120,9120,27360
282,10001606,Tuition Fees,45600,9120,3800,32680
283,10003236,Tuition Fees,45600,0,30400,15200
284,10001474,Tuition Fees,45600,4000,41600,0
285,10001442,Tuition Fees,45600,0,19000,26600
286,10001477,Tuition Fees,45600,0,3800,41800
287,10001643,Tuition Fees,45600,0,45600,0
288,10001482,Tuition Fees,45600,0,19000,26600
289,10002920,Tuition Fees,45600,6840,6460,32300
290,10001579,Tuition Fees,45600,0,11400,34200
291,10002851,Tuition Fees,45600,6840,38760,0
292,10001630,Tuition Fees,45600,1000,14200,30400
293,10001784,Tuition Fees,45600,0,19000,26600
294,10001756,Tuition Fees,45600,0,19000,26600
295,10002133,Tuition Fees,45600,0,0,45600
296,10002165,Tuition Fees,45600,45600,0,0
297,10001855,Tuition Fees,45600,4000,41600,0
298,10001770,Tuition Fees,45600,0,19000,26600
299,10001518,Tuition Fees,45600,0,19000,26600
300,10001544,Tuition Fees,45600,0,19000,26600
301,10001720,Tuition Fees,45600,9120,15200,21280
302,10002150,Tuition Fees,45600,13680,31920,0
303,10002075,Tuition Fees,45600,18000,6900,20700
304,10002084,Tuition Fees,45600,0,11400,34200
305,10001507,Tuition Fees,45600,0,26600,19000
306,10001476,Tuition Fees,45600,22800,5700,17100
307,10001479,Tuition Fees,45600,0,19000,26600
308,10001615,Tuition Fees,45600,0,19000,26600
309,10001661,Tuition Fees,45600,0,19000,26600
310,10001566,Tuition Fees,45600,0,19000,26600
311,10001525,Tuition Fees,45600,0,11400,34200
312,10003238,Tuition Fees,45600,0,19000,26600
313,10003214,Tuition Fees,45600,6840,16150,22610
314,10003210,Tuition Fees,45600,0,19000,26600
315,10003066,Tuition Fees,45600,6840,9690,29070
316,10003120,Tuition Fees,45600,0,19000,26600
317,10003116,Tuition Fees,45600,0,19000,26600
318,10001622,Tuition Fees,45600,6840,16150,22610
319,10003045,Tuition Fees,45600,0,19000,26600
320,10003036,Tuition Fees,45600,6840,9690,29070
321,10002965,Tuition Fees,45600,0,19000,26600
322,10002961,Tuition Fees,45600,0,15200,30400
323,10002907,Tuition Fees,45600,0,19000,26600
324,10001885,Tuition Fees,45600,0,19000,26600
325,10001765,Tuition Fees,45600,0,19000,26600
326,10002293,Tuition Fees,45600,0,19000,26600
327,10002298,Tuition Fees,45600,6840,16150,22610
328,10001560,Tuition Fees,45600,0,19000,26600
329,10002060,Tuition Fees,45600,18000,11500,16100
330,10002085,Tuition Fees,45600,0,30400,15200
331,10001762,Tuition Fees,45600,0,19000,26600
332,10002081,Tuition Fees,45600,0,45600,0
333,10001519,Tuition Fees,45600,0,19000,26600
334,10001611,Tuition Fees,45600,0,19000,26600
335,10001578,Tuition Fees,45600,18000,11500,16100
336,10001478,Tuition Fees,45600,0,11400,34200
337,10001866,Tuition Fees,45600,13500,3800,28300
338,10001473,Tuition Fees,45600,9120,15200,21280
339,10003256,Tuition Fees,45600,0,11400,34200
340,10003135,Tuition Fees,45600,0,19000,26600
341,10001634,Tuition Fees,45600,0,19000,26600
342,10002906,Tuition Fees,45600,0,19000,26600
343,10002769,Tuition Fees,45600,0,19000,26600
344,10001530,Tuition Fees,45600,0,45600,0
345,10001480,Tuition Fees,45600,0,15200,30400
346,10001722,Tuition Fees,45600,18000,27600,0
347,10002143,Tuition Fees,45600,0,19000,26600
348,10002105,Tuition Fees,45600,6840,9690,29070
349,10001876,Tuition Fees,45600,0,19000,26600
350,10001856,Tuition Fees,45600,0,19000,26600
351,10001983,Tuition Fees,45600,0,19000,26600
352,10001704,Tuition Fees,45600,0,19000,26600
353,10001909,Tuition Fees,45600,0,19000,26600
354,10001517,Tuition Fees,45600,0,19000,26600
355,10001743,Tuition Fees,45600,18000,27600,0
356,10002083,Tuition Fees,45600,0,19000,26600
357,10001483,Tuition Fees,45600,18000,11500,16100
358,10002089,Tuition Fees,45600,18000,6900,20700
359,10003070,Tuition Fees,45600,0,19000,26600
360,10001468,Tuition Fees,45600,0,19000,26600
361,10001571,Tuition Fees,45600,0,26600,19000
362,10001624,Tuition Fees,45600,0,15200,30400
363,10001729,Tuition Fees,45600,2000,24600,19000
364,10001526,Tuition Fees,45600,9120,15200,21280
365,10001470,Tuition Fees,45600,18000,27600,0
366,10001511,Tuition Fees,45600,0,19000,26600
367,10001604,Tuition Fees,45600,760,18240,26600
368,10003253,Tuition Fees,45600,0,26600,19000
369,10002881,Tuition Fees,45600,18000,6900,20700
370,10002300,Tuition Fees,45600,18000,6900,20700
371,10002646,Tuition Fees,45600,0,19000,26600
372,10001619,Tuition Fees,45600,0,45600,0
373,10002632,Tuition Fees,45600,0,19000,26600
374,10001602,Tuition Fees,45600,18000,9200,18400
375,10002110,Tuition Fees,45600,0,11400,34200
376,10001934,Tuition Fees,45600,0,11400,34200
377,10001594,Tuition Fees,45600,8400,9300,27900
378,10001766,Tuition Fees,45600,0,19000,26600
379,10001631,Tuition Fees,45600,0,19000,26600
380,10001891,Tuition Fees,45600,0,19000,26600
381,10001465,Tuition Fees,45600,0,19000,26600
382,10002058,Tuition Fees,45600,0,19000,26600
383,10002082,Tuition Fees,45600,0,11400,34200
384,10003172,Tuition Fees,45600,0,19000,26600
385,10002908,Tuition Fees,45600,0,11400,34200
386,10001948,Tuition Fees,45600,6840,16150,22610
387,10001316,Tuition Fees,45600,0,3800,41800
388,10002100,Tuition Fees,45600,0,19000,26600
389,10001873,Tuition Fees,45600,0,19000,26600
390,10001641,Tuition Fees,45600,9120,9120,27360
391,10001837,Tuition Fees,45600,9120,15200,21280
392,10001800,Tuition Fees,45600,0,19000,26600
393,10001701,Tuition Fees,45600,0,45600,0
394,10001693,Tuition Fees,45600,0,11400,34200
395,10001696,Tuition Fees,45600,0,19000,26600
396,10001703,Tuition Fees,45600,9120,15200,21280
397,10001632,Tuition Fees,45600,0,11400,34200
398,10003151,Tuition Fees,45600,0,0,45600
399,10003137,Tuition Fees,45600,0,15200,30400
400,10001792,Tuition Fees,45600,0,19000,26600
401,10002915,Tuition Fees,45600,12000,0,33600
402,10001637,Tuition Fees,45600,0,3800,41800
403,10002345,Tuition Fees,45600,0,19000,26600
404,10001584,Tuition Fees,45600,6840,9690,29070
405,10001790,Tuition Fees,45600,11400,11400,22800
406,10001638,Tuition Fees,45600,570,18430,26600
407,10001639,Tuition Fees,45600,9120,9120,27360
408,10001628,Tuition Fees,45600,9080,15200,21320
409,10002099,Tuition Fees,45600,6840,12920,25840
410,10002064,Tuition Fees,45600,0,19000,26600
411,10002053,Tuition Fees,45600,0,45600,0
412,10002682,Tuition Fees,45600,0,19000,26600
413,10002316,Tuition Fees,45600,0,45600,0
414,10001640,Tuition Fees,45600,0,19000,26600
415,10001754,Tuition Fees,45600,0,19000,26600
416,10002341,Tuition Fees,45600,9120,12160,24320
417,10002322,Tuition Fees,45600,0,11400,34200
418,10001651,Tuition Fees,45600,0,19000,26600
419,10002272,Tuition Fees,45600,0,19000,26600
420,10002270,Tuition Fees,45600,0,19000,26600
421,10002262,Tuition Fees,45600,0,11400,34200
