Sno,Admission Number,Fee Head,Fee Head,Fees Assigned,concession,Paid,Due
238,10002097,Admission Fee,WonderSkill Workshop,0,0,0,0
239,10001960,Admission Fee,WonderSkill Workshop,0,0,0,0
240,10001863,Admission Fee,WonderSkill Workshop,0,0,0,0
241,10001582,Admission Fee,WonderSkill Workshop,0,0,0,0
242,10001694,Admission Fee,WonderSkill Workshop,0,0,0,0
243,10001298,Admission Fee,WonderSkill Workshop,0,0,0,0
244,10001684,Admission Fee,WonderSkill Workshop,0,0,0,0
245,10001490,Admission Fee,WonderSkill Workshop,0,0,0,0
246,10001698,Admission Fee,WonderSkill Workshop,0,0,0,0
247,10001370,Admission Fee,WonderSkill Workshop,0,0,0,0
248,10001305,Admission Fee,WonderSkill Workshop,0,0,0,0
249,10001452,Admission Fee,WonderSkill Workshop,0,0,0,0
250,10001667,Admission Fee,WonderSkill Workshop,0,0,0,0
251,10003279,Admission Fee,WonderSkill Workshop,0,0,0,0
252,10001317,Admission Fee,WonderSkill Workshop,0,0,0,0
253,10003096,Admission Fee,WonderSkill Workshop,0,0,0,0
254,10002941,Admission Fee,WonderSkill Workshop,0,0,0,0
255,10001381,Admission Fee,WonderSkill Workshop,0,0,0,0
256,10001857,Admission Fee,WonderSkill Workshop,0,0,0,0
257,10001751,Admission Fee,WonderSkill Workshop,0,0,0,0
258,10001462,Admission Fee,WonderSkill Workshop,0,0,0,0
259,10002196,Admission Fee,WonderSkill Workshop,0,0,0,0
260,10001331,Admission Fee,WonderSkill Workshop,0,0,0,0
261,10001563,Admission Fee,WonderSkill Workshop,0,0,0,0
262,10001489,Admission Fee,WonderSkill Workshop,0,0,0,0
263,10002997,Admission Fee,WonderSkill Workshop,0,0,0,0
264,10002972,Admission Fee,WonderSkill Workshop,0,0,0,0
265,10001308,Admission Fee,WonderSkill Workshop,0,0,0,0
266,10002565,Admission Fee,WonderSkill Workshop,0,0,0,0
267,10002486,Admission Fee,WonderSkill Workshop,0,0,0,0
268,10001574,Admission Fee,WonderSkill Workshop,0,0,0,0
269,10002214,Admission Fee,WonderSkill Workshop,0,0,0,0
270,10001892,Admission Fee,WonderSkill Workshop,0,0,0,0
271,10002186,Admission Fee,WonderSkill Workshop,0,0,0,0
272,10001443,Admission Fee,WonderSkill Workshop,0,0,0,0
273,10001375,Admission Fee,WonderSkill Workshop,0,0,0,0
274,10001682,Admission Fee,WonderSkill Workshop,0,0,0,0
275,10001333,Admission Fee,WonderSkill Workshop,0,0,0,0
276,10001580,Admission Fee,WonderSkill Workshop,0,0,0,0
277,10001509,Admission Fee,WonderSkill Workshop,0,0,0,0
278,10002711,Admission Fee,WonderSkill Workshop,0,0,0,0
279,10001543,Admission Fee,WonderSkill Workshop,0,0,0,0
280,10001642,Admission Fee,WonderSkill Workshop,0,0,0,0
281,10001515,Admission Fee,WonderSkill Workshop,0,0,0,0
282,10001606,Admission Fee,WonderSkill Workshop,0,0,0,0
283,10003236,Admission Fee,WonderSkill Workshop,0,0,0,0
284,10001474,Admission Fee,WonderSkill Workshop,0,0,0,0
285,10001442,Admission Fee,WonderSkill Workshop,0,0,0,0
286,10001477,Admission Fee,WonderSkill Workshop,0,0,0,0
287,10001643,Admission Fee,WonderSkill Workshop,0,0,0,0
288,10001482,Admission Fee,WonderSkill Workshop,0,0,0,0
289,10002920,Admission Fee,WonderSkill Workshop,0,0,0,0
290,10001579,Admission Fee,WonderSkill Workshop,0,0,0,0
291,10002851,Admission Fee,WonderSkill Workshop,0,0,0,0
292,10001630,Admission Fee,WonderSkill Workshop,0,0,0,0
293,10001784,Admission Fee,WonderSkill Workshop,0,0,0,0
294,10001756,Admission Fee,WonderSkill Workshop,0,0,0,0
295,10002133,Admission Fee,WonderSkill Workshop,0,0,0,0
296,10002165,Admission Fee,WonderSkill Workshop,0,0,0,0
297,10001855,Admission Fee,WonderSkill Workshop,0,0,0,0
298,10001770,Admission Fee,WonderSkill Workshop,0,0,0,0
299,10001518,Admission Fee,WonderSkill Workshop,0,0,0,0
