Sno,Admission Number,Fee Head,Fees Assigned,concession,Paid,Due
589,10001816,Annual Fund,5000,5000,0,0
590,10001831,Annual Fund,5000,0,5000,0
591,10001833,Annual Fund,5000,0,5000,0
592,10001871,Annual Fund,5000,0,5000,0
593,10002031,Annual Fund,5000,0,5000,0
594,10001814,Annual Fund,5000,0,5000,0
595,10001899,Annual Fund,5000,0,5000,0
596,10002117,Annual Fund,5000,4000,1000,0
597,10002048,Annual Fund,5000,0,5000,0
598,10002439,Annual Fund,5000,0,5000,0
599,10002297,Annual Fund,5000,4000,1000,0
600,10001872,Annual Fund,5000,0,5000,0
601,10002466,Annual Fund,5000,0,5000,0
602,10002619,Annual Fund,5000,0,5000,0
603,10002033,Annual Fund,5000,0,5000,0
604,10001900,Annual Fund,5000,0,5000,0
605,10001902,Annual Fund,5000,0,5000,0
606,10002040,Annual Fund,5000,4000,1000,0
607,10002512,Annual Fund,5000,0,5000,0
608,10002460,Annual Fund,5000,0,5000,0
609,10002453,Annual Fund,5000,0,5000,0
610,10002068,Annual Fund,5000,5000,0,0
611,10001811,Annual Fund,5000,0,0,5000
612,10002069,Annual Fund,5000,0,5000,0
613,10001789,Annual Fund,5000,5000,0,0
614,10002090,Annual Fund,5000,0,5000,0
615,10001680,Annual Fund,5000,0,5000,0
616,10002515,Annual Fund,5000,0,5000,0
617,10002649,Annual Fund,5000,0,5000,0
618,10002505,Annual Fund,5000,0,5000,0
619,10002038,Annual Fund,5000,0,5000,0
620,10002290,Annual Fund,5000,0,5000,0
621,10001929,Annual Fund,5000,0,5000,0
622,10002271,Annual Fund,5000,0,5000,0
623,10002119,Annual Fund,5000,0,5000,0
624,10001896,Annual Fund,5000,0,5000,0
625,10002873,Annual Fund,5000,0,5000,0
626,10002874,Annual Fund,5000,0,5000,0
627,10002470,Annual Fund,5000,0,5000,0
628,10002144,Annual Fund,5000,0,5000,0
629,10002212,Annual Fund,5000,0,5000,0
630,10001961,Annual Fund,5000,0,5000,0
631,10002328,Annual Fund,5000,0,5000,0
632,10002395,Annual Fund,5000,0,5000,0
633,10002221,Annual Fund,5000,0,5000,0
634,10002042,Annual Fund,5000,0,5000,0
635,10002049,Annual Fund,5000,0,5000,0
636,10003239,Annual Fund,5000,0,0,5000
637,10003219,Annual Fund,5000,0,5000,0
638,10003174,Annual Fund,5000,0,5000,0
639,10002447,Annual Fund,5000,0,5000,0
640,10003019,Annual Fund,5000,0,5000,0
641,10002911,Annual Fund,5000,0,5000,0
642,10002855,Annual Fund,5000,0,5000,0
643,10002648,Annual Fund,5000,0,5000,0
644,10002329,Annual Fund,5000,0,5000,0
645,10002451,Annual Fund,5000,0,5000,0
646,10002448,Annual Fund,5000,0,5000,0
647,10003027,Annual Fund,5000,0,5000,0
648,10002043,Annual Fund,5000,0,5000,0
649,10001880,Annual Fund,5000,0,0,5000
650,10001994,Annual Fund,5000,4000,1000,0
651,10002122,Annual Fund,5000,0,5000,0
652,10002013,Annual Fund,5000,4000,1000,0
653,10002289,Annual Fund,5000,0,5000,0
654,10002034,Annual Fund,5000,0,5000,0
655,10002353,Annual Fund,5000,0,5000,0
656,10003069,Annual Fund,5000,0,5000,0
657,10003061,Annual Fund,5000,4000,1000,0
658,10002966,Annual Fund,5000,0,5000,0
659,10002254,Annual Fund,5000,4000,1000,0
660,10002232,Annual Fund,5000,0,5000,0
661,10002021,Annual Fund,5000,0,5000,0
662,10002052,Annual Fund,5000,0,5000,0
663,10002022,Annual Fund,5000,0,0,5000
664,10002018,Annual Fund,5000,4000,1000,0
665,10002017,Annual Fund,5000,0,5000,0
666,10002243,Annual Fund,5000,0,5000,0
667,10002041,Annual Fund,5000,0,5000,0
668,10002072,Annual Fund,5000,5000,0,0
669,10003229,Annual Fund,5000,0,5000,0
670,10003215,Annual Fund,5000,0,5000,0
671,10003155,Annual Fund,5000,0,5000,0
672,10003147,Annual Fund,5000,0,5000,0
673,10003059,Annual Fund,5000,5000,0,0
674,10003028,Annual Fund,5000,0,5000,0
675,10002830,Annual Fund,5000,0,5000,0
676,10002607,Annual Fund,5000,0,5000,0
677,10002823,Annual Fund,5000,0,5000,0
678,10002469,Annual Fund,5000,5000,0,0
679,10002468,Annual Fund,5000,0,5000,0
680,10001819,Annual Fund,5000,0,5000,0
681,10002696,Annual Fund,5000,4000,1000,0
682,10002241,Annual Fund,5000,0,5000,0
683,10002203,Annual Fund,5000,0,5000,0
684,10002024,Annual Fund,5000,5000,0,0
685,10002019,Annual Fund,5000,0,5000,0
686,10002045,Annual Fund,5000,4000,1000,0
687,10002121,Annual Fund,5000,0,5000,0
688,10002055,Annual Fund,5000,5000,0,0
689,10003037,Annual Fund,5000,0,5000,0
690,10002602,Annual Fund,5000,0,5000,0
691,10002450,Annual Fund,5000,0,5000,0
692,10002046,Annual Fund,5000,4000,1000,0
693,10001996,Annual Fund,5000,0,5000,0
694,10002173,Annual Fund,5000,0,5000,0
695,10002230,Annual Fund,5000,0,5000,0
696,10002030,Annual Fund,5000,0,5000,0
697,10002012,Annual Fund,5000,0,5000,0
698,10002011,Annual Fund,5000,0,5000,0
699,10002076,Annual Fund,5000,0,5000,0
700,10002025,Annual Fund,5000,0,0,5000
701,10002465,Annual Fund,5000,0,5000,0
702,10003234,Annual Fund,5000,0,5000,0
703,10003162,Annual Fund,5000,0,5000,0
704,10001992,Annual Fund,5000,0,5000,0
